,,,,,,,
,INVOICE,,,,,,
,,,,,,,
,,,,,,,
,INVOICE #,DATE OF ISSUE,CLEANING PERIOD INCLUDED,,,,
,1000-15088,12-06-2023,01/05/2023-31/05/2023,,,,
,,,,,,,
,,,CLEANING SERVICES,,,,
,BILL TO,,2001 Street Name,,,,
,"Client Name
",,"City, State, Country, ZiP code",,,,
,"Street address
",,(000) 123 456 7890,,,,
,"City, State, Country",,cleaningservices@email.com,,,,
,ZIP Code,,cleaningservices123.com,,,,
,,,,,,,
,DESCRIPTION,,UNIT COST,QTY,,AMOUNT,
,,,,,,,
,,,,,,,
,Curtain Cleaning,,$40.00,3,,$120.00,
,Superior dry cleaning on-site,,,,,,
,,,,,,,
,,,,,,,
,Green Cleaning,,$50.00,2,,$100.00,
,"Eco-friendly cleaning by using products that are non-toxic, biodegradable, and safe",,,,,,
,,,,,,,
,,,,,,,
,Pressure Washing,,$110.00,1,,$110.00,
,Jet washer to deliver a powerful water stream to remove dirt and clean surfaces,,,,,,
,,,,,,,
,,,,,,,
,Chimney Sweeping,,$105.00,1,,$105.00,
,"Chimney sweeping to prevent soot build-up, which is a fire hazard",,,,,,
,,,,,,,
,,,,,,,
,Ceiling and Wall Cleaning,,$35.00,8,,$280.00,
,"Removing dirt, oil, and other grime on walls and ceilings",,,,,,
,,,,,,,
,,,,,,,
,Sanitization Services,,$60.00,3,,$180.00,
,Using Hydrogen peroxide to wipe down surfaces that people touch on a regular basis,,,,,,
,,,,,,,
,,,,,,,
,GRAND TOTAL,,SUBTOTAL,,,$895.00,
,$929.50 ,,DISCOUNT,,,-$50.00,
,,,(TAX RATE),,,10%,
,,,TAX,,,$84.50,
,,,TOTAL,,,$929.50,
,,,,,,,
,TERMS & CONDITIONS,,,,,,
,"Unless otherwise agreed in writing by the parties, all invoices are payable within thirty (30) days of the invoice date.",,,,,,
,,,,,,,
,PAYMENT INSTRUCTIONS,,,,,,
,"National Bank of Hamamanji
",,,,,,
,Acc.No. 0123 0000 1111 2323,,,,,,
,"Sort Code 25-88-00
",,THANK YOU FOR YOUR BUSINESS!,,,,
,,,,,,,
